Date,^BSVP,DJI,N225,SSEC
2006/12/28,43356,12637.62988,17047.83008,2715.718994
2007/1/2,43603,12580.83008,17104.96094,2641.333984
2007/1/3,44526,12552.54981,17092.89063,2707.198975
2007/1/4,44474,12654.84961,17169.18945,2807.803955
2007/1/5,45383,12741.86035,17223.15039,2825.575928
2007/1/8,44445,12765.00977,17224.81055,2770.110107
2007/1/9,44020,12767.57031,17225.83008,2668.110107
2007/1/10,42245,12786.63965,17353.66992,2794.700928
2007/1/11,42830,12738.41016,17091.58984,2821.01709
2007/1/12,42007,12686.01953,17237.76953,2778.899902
2007/1/15,42336,12647.48047,16942.40039,2756.98291
2007/1/16,42670,12632.25977,16838.16992,2832.207031
2007/1/17,43095,12216.24023,17057.00977,2933.189941
2007/1/18,42919,12268.62988,17209.91992,2949.144043
2007/1/19,42624,12234.33984,17202.46094,2975.128906
2007/1/22,42735,12114.09961,17261.34961,2857.36499
2007/1/23,42478,12050.41016,17370.92969,2882.558105
2007/1/24,43428,12207.58984,17310.43945,2945.262939
2007/1/26,43553,12192.4502,17424.17969,2930.562012
2007/1/29,44177,12260.7002,17408.57031,2786.334961
2007/1/30,44687,12276.32031,17507.40039,2785.431885
2007/1/31,44412,12318.62012,17458.30078,2673.211914
2007/2/1,43573,12075.95996,17421.92969,2612.537109
2007/2/2,44044,12133.40039,17470.46094,2675.697021
2007/2/5,44642,12159.67969,17490.18945,2716.175049
2007/2/6,44815,12110.41016,17383.41992,2737.731934
2007/2/7,44998,12226.16992,17519.5,2730.385986
2007/2/8,45286,12288.09961,17547.10938,2807.174072
2007/2/9,45352,12447.51953,17344.80078,2831.87207
2007/2/12,44588,12461.13965,17406.85938,2905.093018
2007/2/13,44892,12481.00977,17292.32031,2993.008057
2007/2/14,44284,12469.07031,17292.48047,2998.474121
2007/2/15,43935,12397.29004,17504.33008,3040.599121
2007/2/16,45197,12300.36035,17621.44922,2771.791016
2007/2/21,45996,12348.75,17752.64063,2881.072998
2007/2/22,45955,12354.34961,17897.23047,2797.189941
2007/2/23,45849,12382.29981,17875.65039,2831.525879
2007/2/26,46090,12510.29981,17940.08984,2785.305908
2007/2/27,46452,12530.04981,17939.11914,2840.175049
2007/2/28,46016,12560.2002,17913.21094,2896.593994
2007/3/1,46207,12569.13965,18108.78906,2928.014893
2007/3/2,43145,12573.84961,18188.41992,2937.909912
2007/3/5,43892,12484.62012,18215.34961,2954.914063
2007/3/6,43517,12552.95996,18119.91992,2964.793945
2007/3/7,42370,12612.12988,17604.11914,2906.333984
2007/3/8,41179,12720.45996,17453.50977,2951.697998
2007/3/9,43218,12773.04004,17217.92969,2930.480957
2007/3/12,42667,12803.83984,16642.25,3014.441895
2007/3/13,43466,12808.62988,16844.5,3032.195068
2007/3/14,44133,12961.98047,16764.61914,3057.379883
2007/3/15,44249,12919.40039,17090.31055,3071.225098
2007/3/16,42749,12953.94043,17164.03906,3074.285889
2007/3/19,43288,13089.88965,17292.39063,3122.811035
2007/3/20,43278,13105.5,17178.83984,3138.825928
2007/3/21,42730,13120.94043,16676.89063,3173.018066
2007/3/22,43713,13062.91016,16860.39063,3197.537109
2007/3/23,44351,13136.13965,16744.15039,3183.98291
2007/3/26,45631,13211.87988,17009.55078,3252.594971
2007/3/27,45424,13241.37988,17163.19922,3291.299072
2007/3/28,45533,13264.62012,17419.19922,3291.541992
2007/3/29,45645,13312.96973,17480.60938,3319.139893
2007/3/30,45207,13309.07031,17521.96094,3323.584961
2007/4/2,44484,13362.87012,17365.05078,3398.949951
2007/4/3,45355,13215.12988,17254.73047,3444.291016
2007/4/4,45805,13326.21973,17263.93945,3495.224121
2007/4/5,45597,13346.78027,17287.65039,3531.029053
2007/4/9,46288,13383.83984,17028.41016,3518.26709
2007/4/10,46554,13487.53027,17244.05078,3596.440918
2007/4/11,46647,13476.71973,17544.08984,3611.870117
2007/4/12,46855,13556.53027,17491.41992,3612.395996
2007/4/13,47174,13542.87988,17484.7793,3449.016113
2007/4/16,46939,13539.9502,17743.75977,3584.204102
2007/4/17,47347,13525.65039,17664.68945,3710.885986
2007/4/18,47926,13441.12988,17670.07031,3720.531982
2007/4/19,48921,13507.28027,17540.41992,3743.958984
2007/4/20,48755,13521.33984,17363.94922,3783.062988
2007/4/23,48710,13633.08008,17628.30078,3759.866943
2007/4/24,48762,13627.63965,17527.44922,3841.271973
