Date,Open,High,Low,Close,Adj Close,Volume
2001-03-20,5693.049805,5717.209961,5624.299805,5642.700195,5642.700195,0
2001-03-21,5602.140137,5684.350098,5602.140137,5623.419922,5623.419922,0
2001-03-22,5647.439941,5735.740234,5647.439941,5730.950195,5730.950195,0
2001-03-23,5801.569824,5836.169922,5790.290039,5800.549805,5800.549805,0
2001-03-26,5848.629883,5906.169922,5810.660156,5896.319824,5896.319824,0
2001-03-27,5943.910156,5981.310059,5871.109863,5884.330078,5884.330078,0
2001-03-28,5907.529785,5922.810059,5816.390137,5819.390137,5819.390137,0
2001-03-29,5812.600098,5846.629883,5787.120117,5833.879883,5833.879883,0
2001-03-30,5863.580078,5865.479980,5772.390137,5797.919922,5797.919922,0
2001-04-02,5797.850098,5797.850098,5596.180176,5607.729980,5607.729980,0
2001-04-03,5521.990234,5538.089844,5439.399902,5446.819824,5446.819824,0
2001-04-04,5386.589844,5455.520020,5345.600098,5405.850098,5405.850098,0
2001-04-05,null,null,null,null,null,null
2001-04-06,5570.709961,5584.140137,5508.810059,5515.129883,5515.129883,0
2001-04-09,5476.750000,5476.750000,5391.089844,5401.830078,5401.830078,0
2001-04-10,5432.959961,5506.100098,5349.140137,5353.500000,5353.500000,0
2001-04-11,5470.669922,5474.169922,5362.430176,5467.750000,5467.750000,0
2001-04-12,5521.930176,5563.509766,5503.109863,5533.220215,5533.220215,0
2001-04-13,5592.299805,5601.490234,5492.299805,5495.470215,5495.470215,0
2001-04-16,5490.419922,5490.419922,5409.049805,5432.279785,5432.279785,0
2001-04-17,5404.759766,5458.729980,5391.250000,5431.950195,5431.950195,0
2001-04-18,5479.470215,5523.720215,5472.790039,5508.609863,5508.609863,0
2001-04-19,5682.459961,5683.629883,5602.790039,5608.500000,5608.500000,0
2001-04-20,5645.109863,5645.109863,5590.870117,5596.629883,5596.629883,0
2001-04-23,5607.459961,5612.689941,5562.669922,5597.700195,5597.700195,0
2001-04-24,5569.620117,5644.680176,5567.430176,5589.339844,5589.339844,0
2001-04-25,5594.189941,5601.350098,5500.970215,5516.200195,5516.200195,0
2001-04-26,5542.390137,5548.669922,5461.500000,5518.729980,5518.729980,0
2001-04-27,5505.609863,5509.319824,5416.040039,5416.669922,5416.669922,0
2001-04-30,5430.589844,5469.660156,5371.810059,5381.669922,5381.669922,0
2001-05-01,null,null,null,null,null,null
2001-05-02,5469.950195,5502.529785,5267.040039,5304.240234,5304.240234,0
2001-05-03,5287.720215,5405.540039,5264.959961,5405.540039,5405.540039,0
2001-05-04,5384.299805,5436.529785,5211.700195,5244.049805,5244.049805,0
2001-05-07,5278.910156,5316.790039,5200.750000,5229.930176,5229.930176,0
2001-05-08,5214.250000,5256.790039,5105.370117,5176.709961,5176.709961,0
2001-05-09,5195.040039,5248.290039,5166.390137,5232.640137,5232.640137,0
2001-05-10,5215.549805,5215.549805,5117.140137,5122.169922,5122.169922,0
2001-05-11,5110.910156,5251.390137,5033.560059,5232.720215,5232.720215,0
2001-05-14,5161.250000,5212.040039,5144.169922,5176.450195,5176.450195,0
2001-05-15,5166.970215,5210.359863,5142.890137,5158.790039,5158.790039,0
2001-05-16,5147.020020,5148.600098,5081.140137,5082.020020,5082.020020,0
2001-05-17,5112.229980,5175.529785,5090.859863,5143.439941,5143.439941,0
2001-05-18,5180.910156,5180.910156,5094.580078,5111.669922,5111.669922,0
2001-05-21,5079.720215,5079.720215,4902.220215,4958.609863,4958.609863,0
2001-05-22,4991.669922,5049.040039,4973.060059,4991.479980,4991.479980,0
2001-05-23,4998.680176,5209.970215,4963.459961,5209.970215,5209.970215,0
2001-05-24,5193.870117,5246.790039,5172.049805,5226.790039,5226.790039,0
2001-05-25,5206.229980,5229.790039,5165.299805,5170.080078,5170.080078,0
2001-05-28,5123.899902,5141.379883,5073.149902,5079.720215,5079.720215,0
2001-05-29,5086.299805,5174.810059,5086.299805,5095.259766,5095.259766,0
2001-05-30,5078.910156,5103.649902,5048.979980,5057.069824,5057.069824,0
2001-05-31,5014.930176,5094.560059,5012.279785,5048.859863,5048.859863,0
2001-06-01,5090.660156,5096.430176,4991.319824,5013.959961,5013.959961,0
2001-06-04,5012.140137,5012.140137,4944.979980,4985.109863,4985.109863,0
2001-06-05,5016.259766,5065.060059,4991.500000,5065.060059,5065.060059,0
2001-06-06,5129.479980,5234.120117,5129.479980,5220.439941,5220.439941,0
2001-06-07,5172.689941,5177.470215,5126.299805,5153.350098,5153.350098,0
2001-06-08,5231.169922,5282.819824,5206.270020,5226.279785,5226.279785,0
2001-06-11,5211.700195,5271.299805,5198.439941,5271.299805,5271.299805,0
2001-06-12,5247.419922,5298.689941,5244.740234,5266.240234,5266.240234,0
2001-06-13,5270.160156,5318.709961,5205.029785,5209.709961,5209.709961,0
2001-06-14,5179.399902,5200.500000,5091.520020,5119.189941,5119.189941,0
2001-06-15,5080.799805,5158.629883,5080.799805,5158.629883,5158.629883,0
2001-06-18,5132.520020,5132.600098,5052.250000,5070.520020,5070.520020,0
2001-06-19,5073.350098,5089.569824,5030.509766,5039.979980,5039.979980,0
2001-06-20,5038.890137,5074.089844,5025.080078,5029.640137,5029.640137,0
2001-06-21,5044.200195,5066.169922,4965.859863,4984.879883,4984.879883,0
2001-06-22,4957.189941,4985.379883,4884.910156,4904.339844,4904.339844,0
2001-06-25,null,null,null,null,null,null
2001-06-26,4932.149902,4948.439941,4784.669922,4785.120117,4785.120117,0
2001-06-27,4822.669922,4871.740234,4773.879883,4825.279785,4825.279785,0
2001-06-28,4826.270020,4826.680176,4741.540039,4768.549805,4768.549805,0
2001-06-29,4854.600098,4898.990234,4843.549805,4883.430176,4883.430176,0
2001-07-02,4886.490234,4888.370117,4805.490234,4886.859863,4886.859863,0
2001-07-03,4861.410156,4906.819824,4825.850098,4843.819824,4843.819824,0
2001-07-04,4801.259766,4801.259766,4713.839844,4739.160156,4739.160156,0
2001-07-05,4696.560059,4761.049805,4686.319824,4709.200195,4709.200195,0
2001-07-06,4670.270020,4766.270020,4663.819824,4707.009766,4707.009766,0
2001-07-09,4677.040039,4693.759766,4636.899902,4657.299805,4657.299805,0
2001-07-10,4674.290039,4692.410156,4612.839844,4616.709961,4616.709961,0
2001-07-11,4589.029785,4614.790039,4538.470215,4548.290039,4548.290039,0
2001-07-12,4587.689941,4638.479980,4562.049805,4633.540039,4633.540039,0
2001-07-13,4715.330078,4715.330078,4483.089844,4485.680176,4485.680176,0
2001-07-16,4505.720215,4510.740234,4305.020020,4368.689941,4368.689941,0
2001-07-17,4318.020020,4410.700195,4301.890137,4371.990234,4371.990234,0
2001-07-18,4387.069824,4387.189941,4204.600098,4219.890137,4219.890137,0
2001-07-19,4090.510010,4238.339844,4065.639893,4190.779785,4190.779785,0
2001-07-20,4197.419922,4270.189941,4154.899902,4220.330078,4220.330078,0
2001-07-23,4248.350098,4262.770020,4137.279785,4151.930176,4151.930176,0
2001-07-24,4101.609863,4101.609863,4008.080078,4040.770020,4040.770020,0
2001-07-25,4026.090088,4139.379883,4026.090088,4136.390137,4136.390137,0
2001-07-26,4157.580078,4308.200195,4100.299805,4300.410156,4300.410156,0
2001-07-27,4341.490234,4417.620117,4289.370117,4320.589844,4320.589844,0
2001-07-30,null,null,null,null,null,null
2001-07-31,4299.569824,4365.899902,4275.419922,4352.979980,4352.979980,0
2001-08-01,4402.709961,4411.919922,4328.529785,4354.520020,4354.520020,0
2001-08-02,4393.310059,4490.189941,4379.660156,4490.189941,4490.189941,0
2001-08-03,4499.680176,4579.160156,4488.540039,4530.680176,4530.680176,0
2001-08-06,4507.839844,4527.750000,4451.040039,4470.729980,4470.729980,0
