Date,IBM_Close,TSMC_Close,SP500,DJIA
25-May-16,151.69,24.62,3944.330078,17851.50977
26-May-16,152.44,24.79,3944.050049,17828.28906
27-May-16,152.84,24.8,3961.669922,17873.2207
31-May-16,153.74,24.72,3957.949951,17787.19922
1-Jun-16,152.51,25.25,3963.100098,17789.66992
2-Jun-16,153.5,25.18,3974.76001,17838.56055
3-Jun-16,152.89,25.53,3963.22998,17807.06055
6-Jun-16,152.73,25.47,3982.73999,17920.33008
7-Jun-16,153.33,26.06,3987.959961,17938.2793
8-Jun-16,154,26.33,4001.97998,18005.05078
9-Jun-16,153.42,26.23,3995.280029,17985.18945
10-Jun-16,152.37,25.86,3958.679932,17865.33984
13-Jun-16,151.28,25.63,3927.72998,17732.48047
14-Jun-16,151.06,25.57,3920.929932,17674.82031
15-Jun-16,150.68,25.84,3914.02002,17640.16992
16-Jun-16,151.06,25.86,3926.929932,17733.09961
17-Jun-16,151.99,25.85,3914.149902,17675.16016
20-Jun-16,153.61,26.37,3936.909912,17804.86914
21-Jun-16,154.05,26.59,3947.939941,17829.73047
22-Jun-16,152.92,26.54,3941.449951,17780.83008
23-Jun-16,155.35,26.81,3994.179932,18011.07031
24-Jun-16,146.59,25.68,3850.699951,17400.75
27-Jun-16,143.5,24.9,3781.02002,17140.24023
28-Jun-16,145.7,25.26,3849.050049,17409.7207
29-Jun-16,148.46,25.8,3915.100098,17694.67969
30-Jun-16,151.78,26.23,3968.209961,17929.99023
1-Jul-16,152.35,26.53,3976.679932,17949.36914
5-Jul-16,151.68,26.26,3949.719971,17840.61914
6-Jul-16,152.37,26.15,3972.26001,17918.61914
7-Jul-16,152.6,26.31,3969.189941,17895.88086
8-Jul-16,154.46,26.73,4029.75,18146.74023
11-Jul-16,155.33,27.2,4043.48999,18226.92969
12-Jul-16,157.04,26.97,4071.850098,18347.66992
13-Jul-16,158.02,26.89,4072.77002,18372.11914
14-Jul-16,160.28,27.11,4094.280029,18506.41016
15-Jul-16,159.78,27.01,4090.48999,18516.55078
18-Jul-16,159.86,27.64,4100.399902,18533.05078
19-Jul-16,159.58,27.27,4094.610107,18559.00977
20-Jul-16,161.36,27.55,4112.609863,18595.0293
21-Jul-16,160.45,27.48,4097.819824,18517.23047
22-Jul-16,162.07,27.74,4116.5,18570.84961
25-Jul-16,162.65,27.86,4104.129883,18493.06055
26-Jul-16,162.12,28.33,4105.569824,18473.75
27-Jul-16,161.83,28.1,4100.810059,18472.16992
28-Jul-16,161.37,28.14,4107.75,18456.34961
29-Jul-16,160.62,27.78,4114.509766,18432.24023
1-Aug-16,161.45,28.62,4109.279785,18404.50977
2-Aug-16,160.58,28.16,4083.25,18313.76953
3-Aug-16,160.67,28.16,4097.299805,18355
4-Aug-16,161.55,28.4,4099.209961,18352.05078
5-Aug-16,163.5,28.79,4134.560059,18543.5293
8-Aug-16,162.04,29.09,4131.189941,18529.28906
9-Aug-16,161.77,29.4,4132.959961,18533.05078
10-Aug-16,162.08,29.22,4122.649902,18495.66016
11-Aug-16,163.53,29.14,4142.720215,18613.51953
12-Aug-16,161.95,29.24,4139.629883,18576.4707
15-Aug-16,161.88,29.39,4151.689941,18636.05078
16-Aug-16,160.7,29.08,4129.680176,18552.01953
17-Aug-16,160.44,28.98,4138.419922,18573.93945
18-Aug-16,161.36,29.16,4147.640137,18597.69922
19-Aug-16,160.04,28.64,4142.22998,18552.57031
